,Month,CO2 (ppm)
0,1965-01,319.32
1,1965-02,320.36
2,1965-03,320.82
3,1965-04,322.06
4,1965-05,322.17
5,1965-06,321.95
6,1965-07,321.20
7,1965-08,318.81
8,1965-09,317.82
9,1965-10,317.37
10,1965-11,318.93
11,1965-12,319.09
12,1966-01,319.94
13,1966-02,320.98
14,1966-03,321.81
15,1966-04,323.03
16,1966-05,323.36
17,1966-06,323.11
18,1966-07,321.65
19,1966-08,319.64
20,1966-09,317.86
21,1966-10,317.25
22,1966-11,319.06
23,1966-12,320.26
24,1967-01,321.65
25,1967-02,321.81
26,1967-03,322.36
27,1967-04,323.67
28,1967-05,324.17
29,1967-06,323.39
30,1967-07,321.93
31,1967-08,320.29
32,1967-09,318.58
33,1967-10,318.60
34,1967-11,319.98
35,1967-12,321.25
36,1968-01,321.88
37,1968-02,322.47
38,1968-03,323.17
39,1968-04,324.23
40,1968-05,324.88
41,1968-06,324.75
42,1968-07,323.47
43,1968-08,321.34
44,1968-09,319.56
45,1968-10,319.45
46,1968-11,320.45
47,1968-12,321.92
48,1969-01,323.40
49,1969-02,324.21
50,1969-03,325.33
51,1969-04,326.31
52,1969-05,327.01
53,1969-06,326.24
54,1969-07,325.37
55,1969-08,323.12
56,1969-09,321.85
57,1969-10,321.31
58,1969-11,322.31
59,1969-12,323.72
60,1970-01,324.60
61,1970-02,325.57
62,1970-03,326.55
63,1970-04,327.80
64,1970-05,327.80
65,1970-06,327.54
66,1970-07,326.28
67,1970-08,324.63
68,1970-09,323.12
69,1970-10,323.11
70,1970-11,323.99
71,1970-12,325.09
72,1971-01,326.12
73,1971-02,326.61
74,1971-03,327.16
75,1971-04,327.92
76,1971-05,329.14
77,1971-06,328.80
78,1971-07,327.52
79,1971-08,325.62
80,1971-09,323.61
81,1971-10,323.80
82,1971-11,325.10
83,1971-12,326.25
84,1972-01,326.93
85,1972-02,327.83
86,1972-03,327.95
87,1972-04,329.91
88,1972-05,330.22
89,1972-06,329.25
90,1972-07,328.11
91,1972-08,326.39
92,1972-09,324.97
93,1972-10,325.32
94,1972-11,326.54
95,1972-12,327.71
96,1973-01,328.73
97,1973-02,329.69
98,1973-03,330.47
99,1973-04,331.69
100,1973-05,332.65
101,1973-06,332.24
102,1973-07,331.03
103,1973-08,329.36
104,1973-09,327.60
105,1973-10,327.29
106,1973-11,328.28
107,1973-12,328.79
108,1974-01,329.45
109,1974-02,330.89
110,1974-03,331.63
111,1974-04,332.85
112,1974-05,333.28
113,1974-06,332.47
114,1974-07,331.34
115,1974-08,329.53
116,1974-09,327.57
117,1974-10,327.57
118,1974-11,328.53
119,1974-12,329.69
120,1975-01,330.45
121,1975-02,330.97
122,1975-03,331.64
123,1975-04,332.87
124,1975-05,333.61
125,1975-06,333.55
126,1975-07,331.90
127,1975-08,330.05
128,1975-09,328.58
129,1975-10,328.31
130,1975-11,329.41
131,1975-12,330.63
132,1976-01,331.63
133,1976-02,332.46
134,1976-03,333.36
135,1976-04,334.45
136,1976-05,334.82
137,1976-06,334.32
138,1976-07,333.05
139,1976-08,330.87
140,1976-09,329.24
141,1976-10,328.87
142,1976-11,330.18
143,1976-12,331.50
144,1977-01,332.81
145,1977-02,333.23
146,1977-03,334.55
147,1977-04,335.82
148,1977-05,336.44
149,1977-06,335.99
150,1977-07,334.65
151,1977-08,332.41
152,1977-09,331.32
153,1977-10,330.73
154,1977-11,332.05
155,1977-12,333.53
156,1978-01,334.66
157,1978-02,335.07
158,1978-03,336.33
159,1978-04,337.39
160,1978-05,337.65
161,1978-06,337.57
162,1978-07,336.25
163,1978-08,334.39
164,1978-09,332.44
165,1978-10,332.25
166,1978-11,333.59
167,1978-12,334.76
168,1979-01,335.89
169,1979-02,336.44
170,1979-03,337.63
171,1979-04,338.54
172,1979-05,339.06
173,1979-06,338.95
174,1979-07,337.41
175,1979-08,335.71
176,1979-09,333.68
177,1979-10,333.69
178,1979-11,335.05
179,1979-12,336.53
180,1980-01,337.81
181,1980-02,338.16
182,1980-03,339.88
183,1980-04,340.57
184,1980-05,341.19
185,1980-06,340.87
186,1980-07,339.25
187,1980-08,337.19
188,1980-09,335.49
189,1980-10,336.63
190,1980-11,337.74
191,1980-12,338.36
