,class,sepal_length,sepal_width,petal_length,petal_width
0,setosa,5.1,3.5,1.4,0.2
1,setosa,4.9,3.0,1.4,0.2
2,setosa,4.7,3.2,1.3,0.2
3,setosa,4.6,3.1,1.5,0.2
4,setosa,5.0,3.6,1.4,0.2
5,setosa,5.4,3.9,1.7,0.4
6,setosa,4.6,3.4,1.4,0.3
7,setosa,5.0,3.4,1.5,0.2
8,setosa,4.4,2.9,1.4,0.2
9,setosa,4.9,3.1,1.5,0.1
10,setosa,5.4,3.7,1.5,0.2
11,setosa,4.8,3.4,1.6,0.2
12,setosa,4.8,3.0,1.4,0.1
13,setosa,4.3,3.0,1.1,0.1
14,setosa,5.8,4.0,1.2,0.2
15,setosa,5.7,4.4,1.5,0.4
16,setosa,5.4,3.9,1.3,0.4
17,setosa,5.1,3.5,1.4,0.3
18,setosa,5.7,3.8,1.7,0.3
19,setosa,5.1,3.8,1.5,0.3
20,setosa,5.4,3.4,1.7,0.2
21,setosa,5.1,3.7,1.5,0.4
22,setosa,4.6,3.6,1.0,0.2
23,setosa,5.1,3.3,1.7,0.5
24,setosa,4.8,3.4,1.9,0.2
25,setosa,5.0,3.0,1.6,0.2
26,setosa,5.0,3.4,1.6,0.4
27,setosa,5.2,3.5,1.5,0.2
28,setosa,5.2,3.4,1.4,0.2
29,setosa,4.7,3.2,1.6,0.2
30,setosa,4.8,3.1,1.6,0.2
31,setosa,5.4,3.4,1.5,0.4
32,setosa,5.2,4.1,1.5,0.1
33,setosa,5.5,4.2,1.4,0.2
34,setosa,4.9,3.1,1.5,0.1
35,setosa,5.0,3.2,1.2,0.2
36,setosa,5.5,3.5,1.3,0.2
37,setosa,4.9,3.1,1.5,0.1
38,setosa,4.4,3.0,1.3,0.2
39,setosa,5.1,3.4,1.5,0.2
40,setosa,5.0,3.5,1.3,0.3
41,setosa,4.5,2.3,1.3,0.3
42,setosa,4.4,3.2,1.3,0.2
43,setosa,5.0,3.5,1.6,0.6
44,setosa,5.1,3.8,1.9,0.4
45,setosa,4.8,3.0,1.4,0.3
46,setosa,5.1,3.8,1.6,0.2
