,#miRNA,read_count,precursor,total,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s01(norm),s02(norm),s03(norm),s04(norm),s05(norm),s06(norm),s07(norm),s08(norm),s09(norm),s10(norm),s11(norm),s12(norm),s13(norm),s14(norm),s15(norm),s16(norm),s17(norm),s18(norm),s19(norm),s20(norm),s21(norm),s22(norm),s23(norm),s24(norm)
0,bta-miR-486,4360256.0,bta-mir-486,4360256.0,106465.0,123153.0,96145.0,104217.0,231869.0,95555.0,182736.0,280067.0,163003.0,332598.0,104843.0,265476.0,59358.0,184064.0,170168.0,87606.0,201126.0,176870.0,245352.0,204173.0,116941.0,286980.0,245429.0,296062.0,208689.43,302105.49,193350.33,324369.5,391268.76,360288.52,516041.58,499237.06,406709.33,411252.51,212747.0,319784.33,396325.06,454926.08,369386.79,340685.84,369412.69,325917.71,313423.91,518011.0,367064.89,517069.9,522758.84,424292.54
1,bta-miR-22-3p,867834.0,bta-mir-22,867834.0,46588.0,32337.0,65921.0,30104.0,51424.0,20812.0,24499.0,35661.0,25700.0,42573.0,52365.0,76521.0,23094.0,19853.0,31961.0,21124.0,27904.0,42027.0,70075.0,12961.0,20828.0,24338.0,22251.0,46913.0,91320.37,79325.6,132569.01,93696.99,86775.74,78471.3,69184.52,63567.98,64124.16,52640.89,106258.85,92174.87,154195.4,49067.97,69378.33,82147.88,51251.91,77443.0,89517.02,32883.59,65376.79,43851.3,47394.18,67231.98
2,bta-miR-423-5p,888961.0,bta-mir-423,888961.0,42655.0,30199.0,37337.0,33359.0,50171.0,26112.0,28330.0,43593.0,33445.0,64789.0,45193.0,56462.0,19837.0,36587.0,41054.0,24595.0,46888.0,39112.0,39067.0,26044.0,26276.0,36988.0,31736.0,29132.0,83611.02,74080.89,75085.77,103827.99,84661.36,98454.86,80003.16,77707.27,83448.73,80110.64,91705.46,68012.41,132448.87,90427.14,89116.67,95646.05,86120.25,72071.54,49905.98,66076.7,82477.46,66643.6,67597.04,41749.67
3,bta-miR-92a,559133.0,bta-mir-92a-1,559133.0,42034.0,17531.0,17445.0,11719.0,15550.0,10149.0,8811.0,14266.0,16905.0,42053.0,31674.0,37070.0,1390.0,24326.0,21763.0,11854.0,40388.0,38405.0,33684.0,24089.0,21508.0,29663.0,20727.0,26129.0,82393.76,43005.13,35082.39,36474.72,26239.94,38266.63,24882.03,25430.04,42179.72,51997.91,64272.76,44653.4,9280.84,60123.28,47241.34,46098.33,74181.56,70768.75,43029.49,61116.64,67511.24,53445.69,44148.09,37446.01
4,bta-miR-92a,554774.0,bta-mir-92a-2,554774.0,41751.0,17336.0,17313.0,11641.0,15393.0,10032.0,8765.0,14186.0,16766.0,41763.0,31410.0,36837.0,1357.0,24087.0,21566.0,11760.0,39986.0,38110.0,33533.0,23847.0,21318.0,29473.0,20607.0,25937.0,81839.03,42526.78,34816.94,36231.95,25975.01,37825.49,24752.13,25287.44,41832.9,51639.33,63737.05,44372.73,9060.5,59532.58,46813.71,45732.77,73443.19,70225.16,42836.59,60502.65,66914.85,53103.36,43892.5,37170.85
5,bta-miR-10b,230724.0,bta-mir-10b,230724.0,20553.0,5909.0,31728.0,8248.0,3516.0,3727.0,4294.0,4903.0,9348.0,8926.0,12771.0,23908.0,425.0,5750.0,16569.0,5690.0,6870.0,21575.0,6971.0,4322.0,6357.0,6676.0,4124.0,7564.0,40287.36,14495.31,63805.91,25671.43,5933.1,14052.59,12126.14,8739.91,23324.23,11036.87,25914.86,28798.85,2837.67,14211.5,35966.63,22127.51,12618.28,39756.17,8905.08,10965.42,19953.92,12028.57,8784.04,10840.12
6,bta-miR-191,501723.0,bta-mir-191,501723.0,18382.0,32031.0,27061.0,10242.0,44511.0,7076.0,6035.0,13931.0,12016.0,38143.0,17200.0,42040.0,4002.0,13557.0,15763.0,9124.0,19733.0,18183.0,64763.0,9130.0,8612.0,12239.0,13368.0,44581.0,36031.83,78574.95,54420.44,31877.64,75110.36,26679.94,17042.68,24832.88,29981.16,47163.26,34902.17,50640.11,26720.79,33507.0,34217.03,35481.79,36244.05,33505.75,82731.23,23163.89,27032.12,22051.78,28473.57,63889.95
7,bta-miR-140,375296.0,bta-mir-140,375296.0,18039.0,11530.0,18483.0,14714.0,14709.0,13312.0,15220.0,19210.0,14391.0,34811.0,16431.0,28638.0,6965.0,9300.0,16705.0,11832.0,12577.0,16099.0,15748.0,9705.0,11268.0,12282.0,15551.0,17776.0,35359.5,28284.14,37169.84,45796.49,24820.79,50192.67,42980.87,34243.03,35907.03,43043.29,33341.72,34496.47,46504.33,22985.55,36261.85,46012.77,23100.46,29665.57,20117.22,24622.73,35369.01,22129.25,33123.32,25475.15
8,bta-miR-30d,238973.0,bta-mir-30d,238973.0,13940.0,15850.0,10185.0,3848.0,23784.0,4052.0,2798.0,4994.0,6449.0,23171.0,11219.0,16327.0,2950.0,7558.0,7987.0,4039.0,11974.0,10528.0,21437.0,5008.0,3834.0,5840.0,5203.0,15998.0,27324.76,38881.49,20482.33,11976.68,40134.46,15278.0,7901.48,8902.12,16090.92,28650.6,22765.55,19667.01,19696.74,18680.09,17337.53,15707.03,21992.92,19399.91,27384.61,12705.89,12034.5,10522.3,11082.29,22927.06
9,bta-miR-192,209541.0,bta-mir-192,209541.0,9716.0,5749.0,8926.0,7586.0,2668.0,6992.0,5469.0,16106.0,7590.0,9315.0,13314.0,12970.0,626.0,3601.0,6669.0,3703.0,11639.0,6062.0,21551.0,4091.0,7728.0,9255.0,10047.0,18168.0,19045.01,14102.82,17950.44,23610.99,4502.13,26363.22,15444.31,28709.96,18937.83,11517.86,27016.72,15623.27,4179.71,8900.1,14476.52,14400.38,21377.62,11170.43,27530.24,10379.35,24257.34,16675.32,21399.91,26036.93
10,bta-miR-423-3p,190429.0,bta-mir-423,190429.0,8983.0,5417.0,9207.0,8072.0,7494.0,6684.0,6992.0,9457.0,8054.0,13577.0,10608.0,10994.0,3563.0,6292.0,9950.0,5974.0,9067.0,10103.0,5888.0,5561.0,6891.0,8743.0,6570.0,6288.0,17608.2,13288.39,18515.54,25123.64,12645.8,25201.91,19745.22,16857.7,20095.56,16787.76,21525.71,13243.04,23789.65,15551.08,21598.65,23231.94,16653.56,18616.76,7521.6,14108.91,21630.09,15752.81,13993.97,9011.46
11,bta-miR-181a,146230.0,bta-mir-181a-1,146230.0,8406.0,8269.0,11278.0,3774.0,5949.0,3235.0,2546.0,4391.0,6268.0,7817.0,8565.0,13254.0,1394.0,4847.0,6543.0,4599.0,5495.0,7530.0,9699.0,3407.0,3320.0,4535.0,2894.0,8215.0,16477.18,20284.61,22680.38,11746.36,10038.68,12197.51,7189.84,7827.23,15639.31,9665.6,17380.06,15965.37,9307.54,11979.67,14203.01,17884.78,10092.79,13875.5,12389.95,8643.96,10421.11,8170.99,6164.16,11773.09
12,bta-miR-181a,146216.0,bta-mir-181a-2,146216.0,8406.0,8269.0,11277.0,3773.0,5947.0,3233.0,2543.0,4391.0,6268.0,7816.0,8565.0,13254.0,1394.0,4847.0,6541.0,4598.0,5495.0,7530.0,9699.0,3407.0,3320.0,4534.0,2894.0,8215.0,16477.18,20284.61,22678.37,11743.25,10035.3,12189.97,7181.36,7827.23,15639.31,9664.37,17380.06,15965.37,9307.54,11979.67,14198.67,17880.89,10092.79,13875.5,12389.95,8643.96,10421.11,8169.19,6164.16,11773.09
13,bta-miR-25,195267.0,bta-mir-25,195267.0,6872.0,8195.0,9254.0,3936.0,10199.0,2762.0,2698.0,8408.0,5236.0,10862.0,8652.0,18352.0,792.0,4745.0,5372.0,3303.0,8421.0,8709.0,29621.0,5277.0,2745.0,5837.0,6123.0,18896.0,13470.28,20103.08,18610.06,12250.58,17210.37,10414.07,7619.08,14987.79,13064.36,13430.7,17556.6,22106.26,5288.07,11727.57,11661.1,12844.84,15467.04,16048.04,37839.23,13388.37,8616.25,10516.89,13041.87,27080.25
14,bta-miR-27b,68157.0,bta-mir-27b,68157.0,5727.0,2937.0,5909.0,1733.0,2976.0,1089.0,871.0,1474.0,1825.0,2629.0,4807.0,7184.0,312.0,1514.0,2451.0,1111.0,2061.0,4396.0,7083.0,914.0,1964.0,1844.0,1519.0,3827.0,11225.89,7204.73,11883.17,5393.86,5021.87,4106.06,2459.68,2627.5,4553.56,3250.72,9754.35,8653.63,2083.18,3741.95,5320.43,4320.5,3785.49,8100.49,9048.15,2318.93,6164.78,3322.45,3235.44,5484.55
15,bta-miR-320a,90472.0,bta-mir-320a-1,90472.0,4194.0,2271.0,5244.0,4705.0,3564.0,3050.0,3464.0,5146.0,3921.0,5566.0,4183.0,5663.0,2939.0,3218.0,4659.0,2957.0,4141.0,3704.0,2525.0,2115.0,2820.0,3921.0,3200.0,3302.0,8220.95,5570.97,10545.83,14644.05,6014.09,11499.97,9782.24,9173.07,9783.3,6882.28,8488.13,6821.48,19623.29,7953.5,10113.38,11499.3,7605.87,6825.35,3225.55,5366.0,8851.67,7064.71,6815.94,4732.16
16,bta-miR-320a,90472.0,bta-mir-320a-2,90472.0,4194.0,2271.0,5244.0,4705.0,3564.0,3050.0,3464.0,5146.0,3921.0,5566.0,4183.0,5663.0,2939.0,3218.0,4659.0,2957.0,4141.0,3704.0,2525.0,2115.0,2820.0,3921.0,3200.0,3302.0,8220.95,5570.97,10545.83,14644.05,6014.09,11499.97,9782.24,9173.07,9783.3,6882.28,8488.13,6821.48,19623.29,7953.5,10113.38,11499.3,7605.87,6825.35,3225.55,5366.0,8851.67,7064.71,6815.94,4732.16
17,bta-miR-142-5p,68379.0,bta-mir-142,68379.0,4170.0,3629.0,4341.0,942.0,3734.0,654.0,529.0,981.0,1384.0,2530.0,3591.0,8243.0,93.0,1046.0,1787.0,1429.0,2139.0,3248.0,11949.0,1131.0,1572.0,1920.0,898.0,6439.0,8173.91,8902.27,8729.87,2931.92,6300.96,2465.9,1493.88,1748.69,3453.22,3128.31,7286.84,9929.27,620.95,2585.26,3879.07,5557.15,3928.75,5985.08,15264.2,2869.48,4934.33,3459.38,1912.72,9227.86
18,bta-miR-30e-5p,64608.0,bta-mir-30e,64608.0,4134.0,3860.0,3370.0,938.0,5038.0,1220.0,917.0,1866.0,1536.0,4749.0,2795.0,5420.0,399.0,1532.0,1793.0,716.0,3081.0,2778.0,7901.0,1488.0,1283.0,2663.0,1333.0,3798.0,8103.34,9468.93,6777.17,2919.47,8501.4,4599.99,2589.58,3326.26,3832.48,5872.07,5671.6,6528.77,2664.07,3786.44,3892.1,2784.41,5658.94,5119.01,10093.1,3775.23,4027.2,4798.09,2839.26,5442.99
